,nome_estacao,poluente,metrica,ano,nível_de_poluicao,unidade_de_nivel_de_poluicao,tipo_de_estacao,tipo_de_area,longitude,latitude,altitude,cidade,populacao_da_cidade,link_dados_raw,link_tabela_EEA,poluente_descricao,indice_qualidade_do_ar
0,Escavadeira,NO2,Média anual,2015,17.988,ug/m3,Fundo,urbano,-9.0669,38.6586,30.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=8&Year_from=2015&Year_to=2015&Station=STA-PT03095&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
1,Olivais,O3,Média anual,2015,49.505,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-PT03071&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
2,Olivais,O3,Média anual,2022,44.241,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
3,Olivais,NO2,Média anual,2000,24.131,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Muito Bom
4,Fidalguinhos,SO2,Média anual,2017,2.047,ug/m3,Fundo,urbano,-9.0486,38.65,24.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=1&Year_from=2017&Year_to=2017&Station=STA-PT03103&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
5,Entrecampos,NO2,Média anual,2010,46.106,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de azoto,Bom
6,Loures-Centro,O3,Média anual,2010,55.392,ug/m3,Fundo,urbano,-9.1644,38.8297,10.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
7,Avenida da Liberdade,PM10,Média anual,2005,53.836,ug/m3,Tráfego,urbano,-9.1458,38.7203,44.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 10 µm,Fraco
8,Beato,O3,Média anual,2019,57.977,ug/m3,Fundo,urbano,-9.1175,38.8947,56.0,Lisboa (greater city)                                                           ,1872036.0,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-PT03070&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
9,Beato,O3,Média anual,2021,56.32,ug/m3,Fundo,urbano,-9.1175,38.8947,56.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
10,Entrecampos,SO2,Média anual,1997,18.807,ug/m3,Tráfego,urbano,-9.1489,38.7486,86.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Dióxido de enxofre,Muito Bom
11,Lourinhã,O3,Média anual,2015,62.739,ug/m3,Fundo,rural,-9.2456,39.2783,143.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2015&Year_to=2015&Station=STA-PT03102&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
12,Olivais,PM2.5,Média anual,2010,13.179,ug/m3,Fundo,urbano,-9.1081,38.7689,32.0,Lisboa (greater city)                                                           ,1872036.0,,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Partículas de diâmetro igual ou inferior a 2.5 µm,Bom
13,Fernando Pó,O3,Média anual,2020,56.553,ug/m3,Fundo,rural,-8.6906,38.6356,57.0,,,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=PT&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-PT03099&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=,https://discomap.eea.europa.eu/App/AirQualityStatistics/index.html?Country=Portugal&DataAggregationProcess=Annual mean / 1 calendar year,Ozono,Muito Bom
