,idade,genero,local,titulo,anos_de_experiencia,tamanho_da_empresa,salario_bruto_mensal,outros_beneficios,salario_processado,bins_salario
0,18-24,mulher,Porto,Accounting Assistant,< 2 anos de experiência,+ 1000 pessoas,860€,"Health insurance, Parental Bonus, First 3 days of sick leave paid",860.0,menos de 2000
1,35-44,mulher,Lisboa,Analytics Team Coordinator ,> 16 anos de experiência,+ 200 pessoas,"1,800€","Health Insurance, Employee Discounts",1800.0,menos de 2000
2,35-44,mulher,Lisboa,Analytics Team Leader,<15 anos de experiência,+ 200 pessoas,"3,000€","Health Insurance, Gym membership",3000.0,2000-3999
3,25-34,homem,Vienna,Android Developer,<15 anos de experiência,100 - 200 pessoas,"4,500€",No,4500.0,4000-6000
4,18-24,mulher,Lisboa,Animator,Sem experiência,11 - 25 pessoas,750€,,750.0,menos de 2000
5,25-34,mulher,Lisboa,Assistance consulting ,< 2 anos de experiência,+ 1000 pessoas,"1,128€",,1128.0,menos de 2000
6,45-54,homem,Porto,BI developer ,> 16 anos de experiência,+ 1000 pessoas,"2,900€",Health insurance,2900.0,2000-3999
7,35-44,mulher,Lisboa,Brand and communication management ,<15 anos de experiência,+ 1000 pessoas,"1,300€",,1300.0,menos de 2000
8,25-34,mulher,Lisboa,Brand Design Manager,<15 anos de experiência,+ 500 pessoas,"2,445€","Health Insurance extended to family; Life Insurance, Meal Card, Stock Options, Flex expenses (anual value where you can use in daycare, amazon, apple,etc)  ",2445.0,2000-3999
9,45-54,mulher,Lisboa,Business Analysis,> 16 anos de experiência,+ 1000 pessoas,"3,980€","health insurance, Employee Discounts",3980.0,2000-3999
10,25-34,homem,Lisboa,Business Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,500€",Health Insurance,1500.0,menos de 2000
11,25-34,mulher,Porto,Business Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,600€","Health Insurance, Employee Discounts, Stock Options, Expenses Reimbursement (gym, health, tuition, day care)",1600.0,menos de 2000
12,35-44,mulher,Porto,Business Analyst,<15 anos de experiência,+ 200 pessoas,"3,200€",health insurance,3200.0,2000-3999
13,25-34,mulher,Lisboa,Business Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,850€",Health insurance,1850.0,menos de 2000
14,25-34,mulher,Lisboa,Business Analyst,< 5 anos de experiência,+ 1000 pessoas,"1,850€","Health Insurance, Meal Card, Flex expenses (anual value you can use in gym, pharmacy, school, fnac/staples, etc), 4h/week for volunteering",1850.0,menos de 2000
15,25-34,mulher,Lisboa,Business Developement Manager,< 10 anos de experiência,11 - 25 pessoas,"2,500€",Company car for personal use + Fuel Allowance 175€/month + 500€/Month Life Insurance + Meal Allowance 7.63€/day + Health Insurance + Birthday day off + Bonuses related with business development goals ,2500.0,2000-3999
16,35-44,mulher,Aveiro,Business Developer,< 5 anos de experiência,11 - 25 pessoas,1€, Snacks&Coffee (office); Mobile Phone Plan; Laptop ,1.0,menos de 2000
17,25-34,mulher,Braga,Business Developer,< 10 anos de experiência,1 - 10 pessoas,"1,400€",Gym membership; mobile phone; 200€/yearly formation reimbursement,1400.0,menos de 2000
18,25-34,mulher,Lisboa,Business Development,< 5 anos de experiência,25 - 50 pessoas,"1,500€","Meal allowance, health insurance, learning budget, commissions, flexible schedule and remote work possible",1500.0,menos de 2000
19,25-34,mulher,Lisboa,Business Development Representative,< 5 anos de experiência,25 - 50 pessoas,880€,Meal allowance ,880.0,menos de 2000
20,25-34,homem,Porto,Business Intelligence Consultant,< 5 anos de experiência,+ 200 pessoas,"2,270€","Health Insurance, Employee Discounts, Employee Development Programs",2270.0,2000-3999
21,25-34,mulher,Lisboa,Business Intelligence Developer,< 5 anos de experiência,+ 200 pessoas,"2,200€","Health Insurance, Parental Leave, Employee Development Programs, Employee Discounts, Meal Card (+160€), Mobile Phone, Free coffee and fruit, Payed certifications, Remote work",2200.0,2000-3999
22,25-34,mulher,Porto,Business Intelligence Developer,< 5 anos de experiência,+ 1000 pessoas,"1,800€","Health Insurance, Employee Discounts, Meal Card (+/-140€), Mobile Phone, Remote work",1800.0,menos de 2000
23,25-34,mulher,Lisboa,Business Intelligence Developer,< 5 anos de experiência,25 - 50 pessoas,"1,600€",Health Insurance,1600.0,menos de 2000
24,25-34,homem,Lisboa,Business Lead,< 2 anos de experiência,25 - 50 pessoas,"1,200€","Health Insurance, Variable Salary",1200.0,menos de 2000
25,35-44,mulher,Lisboa,Business Unit Manager,> 16 anos de experiência,+ 1000 pessoas,2800€ gross + 1000€ liquido despesas e viatura + 20000€ bruto variavel anual,"Like Health Insurance, Parental Leave, Employee Development Programs, Tuition Reimbursement, Employee Discounts, Stock acquisition program.",2800.0,2000-3999
26,25-34,mulher,Lisboa,Campus Lead,< 5 anos de experiência,100 - 200 pessoas,"2,660€",Education Perk,2660.0,2000-3999
27,35-44,mulher,Lisboa,CEO,< 10 anos de experiência,1 - 10 pessoas,"3,500€","None, we are a not for profit and we cannot afford that yet",3500.0,2000-3999
28,35-44,homem,Porto,CEO,> 16 anos de experiência,1 - 10 pessoas,"3,600€","3-4 extra holidays per year, 7h workday",3600.0,2000-3999
29,35-44,mulher,Lisboa,CEO,<15 anos de experiência,11 - 25 pessoas,"2,828€","Health Insurance, Free Public Transport, Car, Phone ",2828.0,2000-3999
30,35-44,mulher,Lisboa,CFO,<15 anos de experiência,1 - 10 pessoas,"5,800€","Health Insurance, Parental Leave",5800.0,4000-6000
31,35-44,mulher,Lisboa,Channels Sales Manager,<15 anos de experiência,+ 1000 pessoas,"BRL 25000,00","Health Insurance, Parental Leave, Employee Development Programs,",4623.23,4000-6000
32,25-34,mulher,Porto,Communication Lead,<15 anos de experiência,+ 1000 pessoas,"2,050€","Gym, Health Insurance, Parental Leave, Equity options, employee discounts, sabbatical leave, extra health voucher ",2050.0,2000-3999
33,45-54,mulher,Lisboa,Community Manager,> 16 anos de experiência,11 - 25 pessoas,"1,400€","Believe you shall change the questionnaire, my case, I have more than 16 years of professional experience BUT not on current job. Up to 2014 my Monthly gross salary was much higher with extra benefits. Taking conclusion that a 50' yr old woman, with more than 16 yrs experience post college have 1400€ monthly gross salary is not accurate, there are other factors, change carrear, why, voluntary, compulsory...Thanks for the work any case, this subject is particularly dearest.",1400.0,menos de 2000
