,período,região,instituição,localização_geográfica,total_partos,total_cesarianas,ano,mês,partos_mês,cesarianas_mês,percent_cesarianas_mês,percent_cesarianas_ano
0,2013-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",405,120,2013,1,405.0,120.0,29.6,não aplicável
2490,2013-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",773,230,2013,2,368.0,110.0,29.9,não aplicável
3305,2013-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1149,353,2013,3,376.0,123.0,32.7,não aplicável
1642,2013-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1540,457,2013,4,391.0,104.0,26.6,não aplicável
2513,2013-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1969,571,2013,5,429.0,114.0,26.6,não aplicável
2521,2013-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2350,679,2013,6,381.0,108.0,28.3,não aplicável
46,2013-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2723,787,2013,7,373.0,108.0,29.0,não aplicável
1669,2013-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3156,921,2013,8,433.0,134.0,30.9,não aplicável
883,2013-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3626,1057,2013,9,470.0,136.0,28.9,não aplicável
2550,2013-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4048,1184,2013,10,422.0,127.0,30.1,não aplicável
1693,2013-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4424,1297,2013,11,376.0,113.0,30.1,não aplicável
85,2013-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4823,1411,2013,12,399.0,114.0,28.6,29.3
92,2014-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",389,115,2014,1,389.0,115.0,29.6,não aplicável
923,2014-02,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",728,203,2014,2,339.0,88.0,26.0,não aplicável
932,2014-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1063,296,2014,3,335.0,93.0,27.8,não aplicável
946,2014-04,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1421,388,2014,4,358.0,92.0,25.7,não aplicável
2606,2014-05,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",1831,499,2014,5,410.0,111.0,27.1,não aplicável
3414,2014-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2208,598,2014,6,377.0,99.0,26.3,não aplicável
2617,2014-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",2630,726,2014,7,422.0,128.0,30.3,não aplicável
3432,2014-08,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3036,830,2014,8,406.0,104.0,25.6,não aplicável
2628,2014-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3510,957,2014,9,474.0,127.0,26.8,não aplicável
997,2014-10,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",3934,1084,2014,10,424.0,127.0,30.0,não aplicável
1003,2014-11,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4313,1184,2014,11,379.0,100.0,26.4,não aplicável
2653,2014-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",4725,1294,2014,12,412.0,110.0,26.7,27.4
1017,2015-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523,-8.4098211",402,119,2015,1,402.0,119.0,29.6,não aplicável
